103	102	102	102	102	102	102	102	102	102	102	102	103	103	103	103	103	103	103	103	102	102	102	102	102
103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	102	103	103	103	102	102	102	102	102	102
103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	102	102	102	102	102	102	102
103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	102	103	103	102	102	102	102	102	103	103
103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	102	102	103	102	102	103	103	103	103	104
103	103	103	103	103	103	103	103	103	103	102	103	103	103	103	103	103	103	103	102	103	103	104	105	106
103	103	103	103	103	103	103	103	103	102	103	103	103	103	102	103	103	103	103	103	104	105	106	109	110
103	103	103	103	103	103	103	103	103	102	103	103	103	102	103	103	103	103	104	105	107	109	111	113	116
103	103	103	103	103	103	103	103	103	103	103	102	102	103	103	103	104	104	106	108	111	114	116	118	122
102	102	103	103	103	103	103	103	103	103	103	103	103	103	103	104	105	106	110	113	115	117	121	124	127
102	102	103	103	103	102	103	103	103	103	103	103	103	103	104	105	107	110	113	116	119	122	126	130	133
102	102	102	103	103	103	103	103	103	103	103	103	103	104	105	107	109	113	117	120	123	127	130	133	135
102	102	102	102	102	103	103	103	103	103	103	103	103	105	107	110	113	116	120	123	127	130	133	135	135
102	102	102	102	102	103	103	103	103	103	103	104	105	107	109	113	116	120	123	126	129	131	133	134	134
102	102	102	102	102	103	103	103	103	103	105	105	107	109	113	116	120	123	126	128	130	131	131	131	132
102	103	103	102	103	103	103	103	103	104	106	107	110	113	116	120	123	125	128	129	129	129	129	130	131
103	103	103	102	103	103	103	103	103	105	107	110	113	117	120	123	125	127	129	129	128	127	128	128	131
103	103	103	103	103	103	103	103	105	107	110	113	117	120	123	126	128	129	128	129	128	127	127	129	130
103	103	103	103	103	103	103	104	107	109	112	116	119	123	127	129	130	130	130	128	128	127	128	129	130
103	103	103	103	103	103	104	105	108	111	115	118	121	125	129	130	131	131	130	130	129	129	129	130	132
103	103	103	103	103	103	104	107	110	112	116	120	124	128	130	132	131	130	130	131	131	132	131	132	132
103	103	103	103	103	103	105	108	111	115	118	122	126	130	130	130	131	131	132	132	132	132	132	132	133
103	103	103	103	103	104	107	109	113	117	122	125	128	129	130	130	130	132	132	132	131	130	131	132	132
103	103	103	103	104	106	108	111	115	119	122	125	128	129	130	130	131	131	130	129	129	129	128	128	129
103	103	103	103	104	107	110	112	117	121	124	126	128	129	130	131	130	129	127	127	127	125	125	125	125
